﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0BJU4rYOfj43xHw6gvTIwE","Hold Me Now","Thompson Twins","Into The Gap","1","3","286666","spotify:user:padishahpiper","2019-10-23T06:13:30Z"
"spotify:track:5eU8qMd0TpaLqTGDZJaLDs","Need You Tonight","INXS","Kick","1","4","180517","spotify:user:padishahpiper","2019-10-23T06:15:16Z"
"spotify:track:3rW0ATGLT6kOUtfsIKygyI","Kiss Them For Me","Siouxsie and the Banshees","Superstition (Expanded Edition)","1","1","277146","spotify:user:padishahpiper","2019-10-23T06:15:41Z"
"spotify:track:4vvj5hekeftc4l64fLmOYJ","New Year's Day","U2","War (Remastered)","1","3","335613","spotify:user:padishahpiper","2019-10-23T17:16:54Z"
"spotify:track:3dh2LlmeMqKJbzn2WUgt3d","Pride (In The Name Of Love)","U2","The Unforgettable Fire (Remastered)","1","2","228426","spotify:user:padishahpiper","2019-10-23T17:17:15Z"
"spotify:track:1RbOObDFn7GOseR1w529Zj","Things Can Only Get Better","Howard Jones","Dream Into Action","1","1","235826","spotify:user:padishahpiper","2019-10-23T17:20:15Z"
"spotify:track:6B5Wgo9wf9rgEXdfJUy9IP","What is Love? - 2008 Remastered Version","Howard Jones","Human's Lib","1","2","392906","spotify:user:padishahpiper","2019-10-23T17:21:39Z"
"spotify:track:3GREm6zSHwKZsJxl0hqbAQ","People Are People - 2006 Remaster","Depeche Mode","Some Great Reward (2006 Remaster)","1","3","232080","spotify:user:padishahpiper","2019-10-23T17:23:16Z"
"spotify:track:2FMcDUopGfjBh3xMsrm78S","I Want Candy","Bow Wow Wow","We Are The '80s","1","3","164306","spotify:user:padishahpiper","2019-10-23T17:23:55Z"
"spotify:track:0wnJdLDUi9fkDl5nxhDlqO","Cruel Summer","Bananarama","The Greatest Hits Collection (Collector Edition)","1","11","215400","spotify:user:padishahpiper","2019-10-23T17:24:52Z"
"spotify:track:2jAocF8z8pMh7Bt1Qibl1j","Venus","Bananarama","The Greatest Hits Collection (Collector Edition)","1","1","228653","spotify:user:padishahpiper","2019-10-23T17:24:57Z"
"spotify:track:20CvyqKfRsnFVChsAKYA9f","The One Thing","INXS","Shabooh Shoobah","1","1","205426","spotify:user:padishahpiper","2019-10-23T17:28:00Z"
"spotify:track:0CsM8VGDi38kusMv3pxyj1","True - Single Edit","Spandau Ballet","True - The Digital E.P.","1","1","328293","spotify:user:padishahpiper","2019-10-23T17:28:18Z"
"spotify:track:5uRsBdLhn91AYcsTCOGNOC","Sunglasses At Night","Corey Hart","First Offense","1","1","320000","spotify:user:padishahpiper","2019-10-23T17:28:40Z"
"spotify:track:04EnF5C2HvYZfGu64Bng7I","What You Need","INXS","Listen Like Thieves","1","1","214000","spotify:user:padishahpiper","2019-10-23T17:28:53Z"
"spotify:track:5fSVerSB7TpXkUF9BxTUcP","Some Like It Hot - 2005 Remaster","The Power Station","The Power Station","1","1","305466","spotify:user:padishahpiper","2019-10-23T17:29:13Z"
"spotify:track:29Znt9AbEH9FSsw86zPAYT","Reptile","The Church","Starfish","1","8","295973","spotify:user:padishahpiper","2019-10-23T17:29:26Z"
"spotify:track:4TIJ7zSBNejpoIPaWpWRKc","Rebel Yell","Billy Idol","Rebel Yell","1","1","288533","spotify:user:padishahpiper","2019-10-23T17:29:41Z"
"spotify:track:6C4LXC9UFH1IKiHYOp0BiJ","Sunday Bloody Sunday","U2","War (Remastered)","1","1","279440","spotify:user:padishahpiper","2019-10-23T17:38:09Z"
"spotify:track:6TQ7XVKcCQcfCEmv0QYYV8","Bad","U2","The Unforgettable Fire (Remastered)","1","7","368440","spotify:user:padishahpiper","2019-10-23T17:38:32Z"
"spotify:track:7h1YqA5MZrRxmkUFpukRcp","Where The Streets Have No Name","U2","The Joshua Tree","1","1","336613","spotify:user:padishahpiper","2019-10-23T17:39:04Z"
